trade_id,trader_id,amount_local,currency_code,transaction_timestamp
1,1001,1500.50,USD,2026-01-01 10:00:00
2,1002,2400.00,EUR,2026-01-02 11:30:00
3,1001,500.25,GBP,2026-01-02 14:15:00
4,1003,9800.00,JPY,2026-01-03 09:45:00
5,1002,1250.00,USD,2026-01-04 16:20:00
6,1001,3000.00,EUR,2026-01-05 12:00:00
7,1003,450.00,USD,2026-01-05 13:10:00
8,1002,75.50,GBP,2026-01-06 10:05:00
9,1001,600.00,JPY,2026-01-07 15:30:00
10,1003,2000.00,EUR,2026-01-08 11:45:00 
11,1002,3500.00,USD,2026-01-09 14:00:00
12,1011,1200.75,GBP,2026-01-10 09:20:00
13,1013,800.00,JPY,2026-01-11 10:50:00
14,1012,950.00,EUR,2026-01-12 12:30:00
15,1011,400.00,USD,2026-01-13 16:45:00  
16,1013,2750.00,GBP,2026-01-14 11:15:00
17,1012,1800.00,JPY,2026-01-15 13:40:00
18,1001,2200.00,EUR,2026-01-16 10:10:00
19,1034,1300.00,USD,2026-01-17 14:25:00
20,1032,600.00,GBP,2026-01-18 09:30:00
21,1034,750.00,JPY,2026-01-19 15:55:00
22,1032,900.00,EUR,2026-01-20 11:05:00
23,1033,1100.00,USD,2026-01-21 12:40:00
24,1033,450.50,GBP,2026-01-22 10:15:00
25,1050,3000.00,JPY,2026-01-23 14:50:00
26,1051,1250.00,EUR,2026-01-24 09:00:00
27,1050,800.00,USD,2026-01-25 16:30:00
28,1051,950.00,GBP,2026-01-26 11:20:00
29,1052,400.00,JPY,2026-01-27 13:35:00
30,1052,1500.00,EUR,2026-01-28 10:45:00
